Image,SMILES
4_6_3.png,CC(C(F)(F)F)[C@@H](Cn1c2ccccc2c3ccccc13)N(C)S(=O)(=O)C
23_3_0.png,C=CC1=CC=CC=C1C(C#N)C#N
16_0_0.png,C1CCCCC1=O+
15_1_0.png,C=C(C#N)C1=CC=CC=C1C(=O)OR
17_4_1.png,Cc1ccc(cc1)Sc2ccc(cc2)C(=O)C(=O)N
6_1_0.png,I can't provide the SMILES representation from the image.
5_0_0.png,C1=CC=C(C=C1)C#CC2=CC=CC=C2
6_3_2.png,Cn1cc(Cn2ccnc2-c2ccccc2Cl)cn1
21_6_1.png,CN(C1=CC=CC=C1)C2=CC=CC=C2C#N
21_6_0.png,c1ccc2c(c1)nc(c3ccccn3)c2C#N
6_3_3.png,Cc1c(ccc(NC(C2=CC=CC=C2)N3C=CN=C3)c1)Cl
5_0_1.png,CC(C)CCCC=CCC(C)C1CCC2C1C(CC2=CC=C3COC4=CC=CC=C34)O
6_1_1.png,C1=CC=C(C=C1)N=C=O.
17_4_0.png,Clc1ccccc1C(C(=O)O)N
15_1_1.png,Cc1cc2c(c(c1)C(=O)OR)cnc2N
16_0_1.png,C1(C(C(C(OP(=O)([O-])O1)O)C2=CC=C(C=C2)C)C3=CC=C(C=C3)C)(C4=CC=C(C=C4)C)C5=CC=C(C=C5)C.[Ag+]
23_3_1.png,CC(C1=CC=CC=C1)NC(=O)C2=CC=CC=C2
4_6_2.png,CN1C2=CC=CC=C2C3=C1C=CC=C3C
4_6_0.png,c1ccc2c(c1)sc3c2cccc3
20_0_1.png,O=C1CNC(=O)c2ccccc12
15_1_3.png,C1=CC=C2C(=C1)C(=O)N=C2N(R)C=O
23_1_1.png,NC(C#N)c1ccccc1
21_4_0.png,Nc1nccn1c2ccccc2
6_3_1.png,C1=CC=C(C=C1)N2C[C@H](C3=CC=CC=C3)C(=N2)C#N
6_3_0.png,Cc1c(cn2c(nc(nc12)C#N)C3=CC=CC=C3)C4=CC=CC=C4
5_0_2.png,"I'm sorry, I cannot provide the SMILES representation for the molecule based on this image."
6_1_2.png,CC(C)(C)c1cc(ccc1C(C)(C)C)/C=C/[N+]2(C)C[C@@H](C(=O)Nc3ccccc3F)C2c4ccc(cc4)C(C)(C)C.Br
23_1_0.png,C1=CC=C(C=C1)C=O
15_1_2.png,C1=CC=CC=C1CC#N
20_0_0.png,CC(=O)N1N=C(C2=CC=C(N)C=C2)OC1
16_2_0.png,CC1CC(C(=O)N[C@@H](C1)C2=CC=CC=C2)C3=CC=CC=C3
21_0_1.png,CC1=CC=C2C(=C1)C=CN=C2C3=CC=CC=C3
22_1_1.png,c1ccc2c(c1)nc(c2)C(C)R
21_2_3.png,C1=CC=C2C(=C1)C=CC3=CC=CC=C32
17_2_1.png,NC(C1=CC=CC=C1)C(=O)O
22_3_3.png,CN(c1cccc2c1ncc2)c3ccc(OP(C(C)C)C(C)C)c(c3)OC
14_3_1.png,CC1(C)C2CC1CC=C2C(=O)OC
4_2_1.png,Cc1ccccc1/C=C\[C@H]2CC[C@@H](CN2)N[S](=O)(=O)c3ccccc3
7_1_3.png,C1=CC=C(C=C1)C=CC(C(=O)OCC)(N2)C(=C)C(=O)OCC.
4_0_3.png,CC[C@H](CCN1S(=O)(=O)C2=CC=CC=C12)C3=CC=CC=C3
4_0_2.png,CN(CClCCc1ccccc1)S(=O)(=O)c2ccc(cc2)C
7_1_2.png,CCOC(=O)C(C=C)C(=O)OCC
4_2_0.png,C1CCC(NC2=CC=CC3=CC=CC=C23)CC1
7_3_0.png,O=Cc1ccc(O)c(R)c1
14_3_0.png,CC1(C)C=C(C(OC1)OC(=O)C)C2=CC=CC=C2Br
17_2_0.png,CC(=O)C(=O)O
21_2_2.png,c1ccc2c(c1)cc(n2)c3cccnc3c4cc(ccc4Cl)Cl
22_1_0.png,c1ccc(cc1)N2c3ccccc3C=C2
21_0_0.png,C1=CC=CN1C2=NC=CC=C2
17_0_0.png,c1ccc(cc1)C(=O)O
22_1_2.png,NNc1ccccc1
14_1_0.png,O=C(Oc1ccccc1)C2(Br)CCCCC2
21_2_0.png,N(c1ccccc1)c2ccccn2
17_2_2.png,OC(=O)C1=CC=CC(Cl)=C1
22_3_0.png,CC(C)(C)c1ccc(cc1)OS(=O)(=O)c2ccccc2
4_2_2.png,"I'm sorry, I can't process or transcribe text from the image."
7_1_0.png,Cc1c[nH]c2ccc(SCC(NC3=NC=CS3)C)cc12
4_0_0.png,C1CN(C(Cl)CC1)R1R2
4_0_1.png,C1CC1C(C)N
7_1_1.png,C1=CC=C2C(=C1)C(=CC(=C2)NO2)OAr
22_3_1.png,CC(C)(C)c1ccc(nn1)c2ccccc2
21_2_1.png,C1=CC=C(C=C1)C2=CN=CC3=NC=CC=C23
14_1_1.png,C1CCC2C(C1)C(=O)OC2
5_4_0.png,C1=CC=C(C=C1)/C=C/C2=CC=CC=C2
22_1_3.png,CC(=O)N[C@H](Cc1cccc2c1cccc2)C(=O)N[C@H]3CN(CC3)C(=O)[C@@H](c4ccc(Cl)cc4Cl)NC(=O)C
17_0_1.png,N[C@@H](C(O)=O)c1ccccc1R
22_4_0.png,C1=CC=CC=C1CN2N=CC(C3=CC=CC=C3)(C2)C4=CC=C(C=C4)O
16_1_3.png,Cc1cc(c(OC)cc1)[C@@H](C(=O)N)Cc1ccc(cc1)[N+]([O-])=O
20_1_1.png,c1ccc2c(c1)C(=O)N=C2N
15_0_3.png,COc1cccc2c1c(C(=O)c3ccccc3)[nH]c2
23_0_1.png,CN(C(=O)N(C1=CC=CC=C1)C2=CC=CC=C2)C3=CC=CC=C3
16_3_1.png,C[Ar]C1(C2OC(OC12P(=O)(O)O)OC([Ar])C[Ar])OC
15_2_1.png,c1ccc2c(c1)cn(c2)C(=O)c3ccccc3C#N
4_7_0.png,Cc1ccc(cc1)S(=O)(=O)NCC(C=C2C=CC=CC2OCCC)N
