Image,SMILES
4_6_3.png,"c1ccc2ccccc2c1CC1CC1C(=O)N1CC1(F)(F)F
"
23_3_0.png,"Cc1ccccc1C=C(C#N)C#N
"
16_0_0.png,"O=C1CCCC[C+]1
"
15_1_0.png,"C=CC(=O)O[C@@H](C)c1ccccc1N=C=S
"
17_4_1.png,"c1ccc(cc1)CCSc1ccccc1C(=O)C(N)O
"
6_1_0.png,"C=CC1CCN1C[C@@H](N)c1ccc2ncc(R3)cc21
"
5_0_0.png,"c1ccc(cc1)C#Cc1ccc(cc1)
"
6_3_2.png,"c1ccc(cc1)C1=NC2=CC=CC=C2N=C1C1=CC=C(Cl)C=C1
"
21_6_1.png,FC(c1cccc2c1nc(-c1ccccc1)c2-c1ccccn1)
21_6_0.png,"c1ccc2c(c1)nc1ccccc12C1=CC=CN=C1
"
6_3_3.png,"Cc1ccc(Cl)cc1[C@@H](C(=O)Nc1cccc2n1ccc2)c1ccccc1
"
5_0_1.png,"Fc1ccc2c(c1)c1c(n(C(C)C)c12)/C=C/C[C@@H](O)CCC(=O)O
"
6_1_1.png,C=CC1CCN1C[C@@H](C(=O)Nc1ccc(R4)cc1)c1cnc2ccc(R3)cc12
17_4_0.png,"ClCC1=CC=C(C(C(=O)O)N)C=C1
"
15_1_1.png,"CC(=O)OCC1=C(C)N=C2C=CC=CC12
"
16_0_1.png,"O=P(O[C@H](O)[C@@H](O)(c1ccc(C)cc1)c1ccc(C)cc1)(O[C@H](O)[C@@H](O)(c1ccc(C)cc1)c1ccc(C)cc1)O
"
23_3_1.png,"CC(=O)Nc1ccc(cc1)NC(c1ccccc1)c1ccccc1
"
4_6_0.png,"c1ccc2c(c1)sc1c2cccc1-c1ccc(c1)OC1CC1
"
20_0_1.png,"O=C1C(=O)N=C2C=CC=C21
"
15_1_3.png,"O=C(Ar)c1c(R)cnc2ccccc12
"
23_1_1.png,"Cc1ccccc1C(N)CN
"
21_4_0.png,"c1ccccc1Nc1ccccn1
"
6_3_1.png,"c1ccc(C2N=C3C=CC(R2)=C3N2[C@@H](R3)CN)c(R1)c1
"
6_3_0.png,"c1ccc(C2=NC(=NR3)C3=C(C2)N=CC=C3R2)cc1R1
"
5_0_2.png,"C=CC([R])R
"
